DB ID: 82, Telegram ID: 146809, Username: user_146809, Created at: 2025-06-02 16:06:25.504193+00:00, Language: en, Ref Link: None, Invited By: 127988, Credits Free: 40, Credits Paid: 0, Credits Ref: 0
DB ID: 4, Telegram ID: 5001, Username: user, Created at: 2025-06-02 15:49:14.592189+00:00, Language: en, Ref Link: https://t.me/jhdsfajsdhgjdwehnehnbdfj_bot?start=5001, Invited By: None, Credits Free: 40, Credits Paid: 0, Credits Ref: 0
DB ID: 83, Telegram ID: 146477, Username: user_146477, Created at: 2025-06-02 16:06:26.088677+00:00, Language: en, Ref Link: None, Invited By: None, Credits Free: 40, Credits Paid: 0, Credits Ref: 0
DB ID: 84, Telegram ID: 146562, Username: user_146562, Created at: 2025-06-02 16:06:26.093386+00:00, Language: en, Ref Link: None, Invited By: 146477, Credits Free: 40, Credits Paid: 0, Credits Ref: 0
DB ID: 7, Telegram ID: 101711, Username: inviter, Created at: 2025-06-02 15:53:21.103019+00:00, Language: en, Ref Link: None, Invited By: None, Credits Free: 40, Credits Paid: 0, Credits Ref: 0
DB ID: 8, Telegram ID: 133510, Username: invited, Created at: 2025-06-02 15:53:21.108005+00:00, Language: en, Ref Link: None, Invited By: 101711, Credits Free: 40, Credits Paid: 0, Credits Ref: 0
DB ID: 9, Telegram ID: 116602, Username: user3, Created at: 2025-06-02 15:53:21.687881+00:00, Language: en, Ref Link: None, Invited By: None, Credits Free: 20, Credits Paid: 0, Credits Ref: 0
DB ID: 10, Telegram ID: 161161, Username: inv4, Created at: 2025-06-02 15:53:22.284773+00:00, Language: en, Ref Link: None, Invited By: None, Credits Free: 40, Credits Paid: 0, Credits Ref: 0
DB ID: 11, Telegram ID: 150629, Username: inv5, Created at: 2025-06-02 15:53:22.291514+00:00, Language: en, Ref Link: None, Invited By: 161161, Credits Free: 40, Credits Paid: 0, Credits Ref: 0
DB ID: 12, Telegram ID: 175871, Username: inv6, Created at: 2025-06-02 15:53:22.889460+00:00, Language: en, Ref Link: None, Invited By: None, Credits Free: 40, Credits Paid: 0, Credits Ref: 0
DB ID: 13, Telegram ID: 193148, Username: inv7, Created at: 2025-06-02 15:53:22.893794+00:00, Language: en, Ref Link: None, Invited By: 175871, Credits Free: 40, Credits Paid: 0, Credits Ref: 0
DB ID: 14, Telegram ID: 104338, Username: ref8, Created at: 2025-06-02 15:53:23.492541+00:00, Language: en, Ref Link: None, Invited By: None, Credits Free: 40, Credits Paid: 0, Credits Ref: 0
DB ID: 15, Telegram ID: 185498, Username: user_t1, Created at: 2025-06-02 15:53:24.243851+00:00, Language: en, Ref Link: None, Invited By: None, Credits Free: 40, Credits Paid: 100, Credits Ref: 0
